Time (s),V_a (V),V_b (V),V_c (V),I_a (A),I_b (A),I_c (A)
0.055400000000000005,-24703.65606056272,9649.138101810615,15054.51795875211,20.408163265306122,6.024096385542169,4.016064257028113
0.0555,-24593.439678660816,8923.361942894879,15670.077735765943,20.408163265306122,6.024096385542169,4.016064257028113
0.055600000000000004,-24458.952540998045,8188.77950307213,16270.173037925917,20.408163265306122,6.024096385542169,4.016064257028113
0.0557,-24300.327370142415,7446.115726523098,16854.211643619325,20.408163265306122,6.024096385542169,4.016064257028113
0.0558,-24117.720709986555,6696.103532732516,17421.617177254044,20.408163265306122,6.024096385542169,4.016064257028113
0.055900000000000005,-23911.312771257628,5939.483093185419,17971.82967807221,20.408163265306122,6.024096385542169,4.016064257028113
0.056,-23681.307253671264,5177.001100907919,18504.306152763347,20.408163265306122,6.024096385542169,4.016064257028113
0.056100000000000004,-23427.931144904374,4409.410033570654,19018.521111333725,20.408163265306122,6.024096385542169,4.016064257028113
0.0562,-23151.4344965859,3637.467410884866,19513.967085701035,20.408163265306122,6.024096385542169,4.016064257028113
0.0563,-22852.090177525824,2861.93504702121,19990.155130504616,20.408163265306122,6.024096385542169,4.016064257028113
0.056400000000000006,-22530.19360442681,2083.578298791749,20446.61530563506,20.408163265306122,6.024096385542169,4.016064257028113
0.0565,-22186.062450343503,1303.1653103349254,20882.897140008576,20.408163265306122,6.024096385542169,4.016064257028113
0.056600000000000004,-21820.036331177445,521.4662550497676,21298.570076127675,20.408163265306122,6.024096385542169,4.016064257028113
0.0567,-21432.47647051747,-260.7474244716521,21693.22389498912,20.408163265306122,6.024096385542169,4.016064257028113
0.0568,-21023.765343155294,-1042.7037777656246,22066.469120920912,20.408163265306122,6.024096385542169,4.016064257028113
0.056900000000000006,-20594.306297629373,-1823.6311083180954,22417.93740594746,20.408163265306122,6.024096385542169,4.016064257028113
0.057,-20144.523158168467,-2602.7587351362195,22747.28189330468,20.408163265306122,6.024096385542169,4.016064257028113
0.057100000000000005,-19674.859806428158,-3379.3177533177227,23054.177559745873,20.408163265306122,6.024096385542169,4.016064257028113
0.0572,-19185.779743433566,-4152.54179286659,23338.321536300147,20.408163265306122,6.024096385542169,4.016064257028113
0.057300000000000004,-18677.765632159408,-4921.667775008432,23599.43340716783,20.408163265306122,6.024096385542169,4.016064257028113
0.0574,-18151.31882120034,-5685.936665256405,23837.255486456736,20.408163265306122,6.024096385542169,4.016064257028113
0.0575,-17606.958849999966,-6444.594222487309,24051.553072487266,20.408163265306122,6.024096385542169,4.016064257028113
0.057600000000000005,-17045.222936128543,-7196.891743285865,24242.11467941444,20.408163265306122,6.024096385542169,4.016064257028113
0.0577,-16466.665445113933,-7942.086800825025,24408.75224593899,20.408163265306122,6.024096385542169,4.016064257028113
0.057800000000000004,-15871.857343349604,-8679.443977551533,24551.30132090117,20.408163265306122,6.024096385542169,4.016064257028113
0.0579,-15261.385634619885,-9408.23559095425,24669.621225574163,20.408163265306122,6.024096385542169,4.016064257028113
0.058,-14635.852780798281,-10127.742411698662,24763.59519249697,20.408163265306122,6.024096385542169,4.016064257028113
0.058100000000000006,-13995.87610728988,-10837.254373419966,24833.13048070987,20.408163265306122,6.024096385542169,4.016064257028113
0.0582,-13342.087193806254,-11536.071273472204,24878.158467278485,20.408163265306122,6.024096385542169,4.016064257028113
0.058300000000000005,-12675.131251071976,-12223.503463944366,24898.634715016367,20.408163265306122,6.024096385542169,4.016064257028113
0.0584,-11995.666484080108,-12898.872532258996,24894.539016339124,20.408163265306122,6.024096385542169,4.016064257028113
0.0585,-11304.36344252274,-13561.511970684116,24865.875413206875,20.408163265306122,6.024096385542169,4.016064257028113
0.058600000000000006,-10601.904359039938,-14210.76783409535,24812.67219313531,20.408163265306122,6.024096385542169,4.016064257028113
0.0587,-9888.98247593827,-14845.99938534105,24734.981861279342,20.408163265306122,6.024096385542169,4.016064257028113
0.058800000000000005,-9166.301361044094,-15466.579727572724,24632.881088616836,20.408163265306122,6.024096385542169,4.016064257028113
0.0589,-8434.574213367623,-16071.896422916008,24506.470636283648,20.408163265306122,6.024096385542169,4.016064257028113
0.059000000000000004,-7694.523159260961,-16661.352096873514,24355.87525613449,20.408163265306122,6.024096385542169,4.016064257028113
0.0591,-6946.878539767233,-17234.365027860757,24181.243567628,20.408163265306122,6.024096385542169,4.016064257028113
0.0592,-6192.378189861478,-17790.36972129567,23982.74791115716,20.408163265306122,6.024096385542169,4.016064257028113
0.059300000000000005,-5431.766710297209,-18328.81746767303,23760.584177970246,20.408163265306122,6.024096385542169,4.016064257028113
0.0594,-4665.794732775105,-18849.176884074684,23514.971616849798,20.408163265306122,6.024096385542169,4.016064257028113
0.059500000000000004,-3895.2181791598905,-19350.934438580516,23246.152617740416,20.408163265306122,6.024096385542169,4.016064257028113
0.0596,-3120.797515477322,-19833.594957062047,22954.392472539374,20.408163265306122,6.024096385542169,4.016064257028113
0.0597,-2343.29700142534,-20296.682111859947,22639.97911328529,20.408163265306122,6.024096385542169,4.016064257028113
0.059800000000000006,-1563.4839361426266,-20739.73889186157,22303.2228280042,20.408163265306122,6.024096385542169,4.016064257028113
0.0599,-782.1279009767313,-21162.328053515892,21944.455954492627,20.408163265306122,6.024096385542169,4.016064257028113
0.060000000000000005,7.016634741671382e-11,-21564.03255234027,21564.032552340203,20.408163265306122,6.024096385542169,4.016064257028113
0.0601,782.1279009767834,-21944.455954492652,21162.328053515863,20.408163265306122,6.024096385542169,4.016064257028113
0.060200000000000004,1563.4839361427664,-22303.22282800426,20739.73889186149,20.408163265306122,6.024096385542169,4.016064257028113
0.0603,2343.297001425392,-22639.979113285313,20296.68211185992,20.408163265306122,6.024096385542169,4.016064257028113
0.0604,3120.797515477374,-22954.392472539395,19833.594957062018,20.408163265306122,6.024096385542169,4.016064257028113
0.060500000000000005,3895.218179159942,-23246.152617740438,19350.934438580487,20.408163265306122,6.024096385542169,4.016064257028113
0.0606,4665.794732775157,-23514.971616849813,18849.17688407465,20.408163265306122,6.024096385542169,4.016064257028113
0.060700000000000004,5431.76671029726,-23760.584177970264,18328.81746767299,20.408163265306122,6.024096385542169,4.016064257028113
0.0608,6192.378189861529,-23982.747911157174,17790.369721295636,20.408163265306122,6.024096385542169,4.016064257028113
0.0609,6946.878539767198,-24181.243567627993,17234.365027860782,20.408163265306122,6.024096385542169,4.016064257028113
0.061000000000000006,7694.523159261011,-24355.8752561345,16661.352096873474,20.408163265306122,6.024096385542169,4.016064257028113
0.0611,8434.57421336759,-24506.47063628364,16071.896422916036,20.408163265306122,6.024096385542169,4.016064257028113
0.061200000000000004,9166.301361044143,-24632.88108861684,15466.579727572682,20.408163265306122,6.024096385542169,4.016064257028113
